post_id,account_a,account_b,account_pair,post_timestamp,gender_a,gender_b,stance_a,stance_b,gender_pair,stance_pair,same_stance,same_gender,opposite_stance,post_classification,post_hashtags_found,post_total_likes,post_publisher_is_verified,post_comments_count,n_comments_seen_a,n_comments_seen_b,n_comments_shared,n_comments_unique_a,n_comments_unique_b,V,T,variation_proportion,n_discordant_pairs,n_rank_pairs,rank_variation_proportion,avg_comment_length_a,avg_comment_length_b,post_age_days,log_post_age_z,log_comments_z,log_likes_z
DZoJbIWu1UA,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-06-16T00:56:20.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,prolife;abortion;womensrights;politics;fyp,1800,True,102,5,5,2,3,3,6,10,0.6,0.0,1.0,0.0,164.6,58.8,40.408424262997684,-1.4105354885218315,-0.09338844973317686,-0.04147815951897606
DJm_YlwRG_H,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-05-13T21:42:14.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-choice,paidparentalleave;familyplanning;universalhealthcare;universalchildcare;childcare;wic;antichoice;prochoiceisprolife;prochoice;womensrights;womensrightsarehumanrights,37900,False,756,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,52.8,52.8,438.5432159296643,0.4849154492273879,1.1270269836511166,1.5731179315193382
DF8IqCLNb5n,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-02-11T16:43:06.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,prolifegeneration;fürdasleben;liebevonanfangan;schwangerschaftsabbruch;prolife;münchnermarsch;prochoice;mybodymychoice;reproduktiverechte;prolife,466,False,406,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,247.6,247.6,529.7509474111458,0.6362118781286373,0.7473439042121451,-0.7568017771353512
DF2yNSBRXs4,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-02-09T14:49:22.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,secularprolife;shoutyourabortion;abortiondebate;abortionregret;coercedabortion,559,False,35,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,77.4,77.4,531.8299288926273,0.6393487517892262,-0.7365705061381995,-0.6605569823960233
DRtEMZTgAsc,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-12-01T02:31:28.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,abortion;prolife;prochoice;liberal;feminism;conservative,7200,True,312,5,5,3,2,2,4,10,0.4,0.0,3.0,0.0,53.2,200.6,237.34235944818286,-0.00617061514090119,0.5866661818195041,0.692982196001035
Cbh7wXeDCsN,male_prolife,male_prochoice,male_prolife_male_prochoice,2022-03-25T14:30:15.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,,523,True,32,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,39.8,39.8,1583.8432043555904,1.513986469415391,-0.7898083498925279,-0.6957702529729742
DYzrEjyjuBA,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-05-26T15:45:47.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,prolife;abortion,113,False,10,5,5,5,0,0,0,10,0.0,2.0,10.0,0.2,42.4,42.4,60.790750651886576,-1.0893627270329564,-1.461993429524915,-1.5041152461220721
DOCT_MQE0Ee,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-08-31T22:27:49.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-choice,feminist;feminism;thefeministfrontline;4bmovement;4b;mybodymychoice;womensrights;womensrightsarehumanrights;freewomen;strongwoman;feminismquotes;feministquotes;prochoice;abortion;abortionishealthcare;abortionright,64599,False,238,5,5,4,1,1,2,10,0.2,0.0,6.0,0.0,95.2,90.6,328.5115608370718,0.25372668596187403,0.42162619243619176,1.8557123725745088
DVE6ymdEnOy,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-02-22T22:25:28.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,progressivechristianity;maga;christiannationalism,6900,False,426,5,5,3,2,2,4,10,0.4,0.0,3.0,0.0,125.6,111.8,153.5131927815162,-0.3539501203253141,0.7766948181132416,0.6704304860754682
C2zyclvLGNw,male_prolife,male_prochoice,male_prolife_male_prochoice,2024-02-01T15:02:50.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,,4800,True,202,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,50.4,50.4,905.8205770407756,1.0660143267881275,0.3217371726560557,0.47813854692930835
DT391qJjphw,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-01-24T01:09:46.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,prolife,178,False,8,5,5,5,0,0,0,10,0.0,1.0,10.0,0.1,12.8,12.8,183.39909555929398,-0.2120688904420513,-1.5847736394319445,-1.2650038196937576
DOREfeJAAcl,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-09-06T16:00:00.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,prolife;prochoice;abortion;prolifeadvocacynetwork,138,False,20,5,5,4,1,1,2,10,0.2,0.0,6.0,0.0,508.4,89.4,322.7808779667014,0.23964916258222868,-1.0663550984858932,-1.3990370935572936
DRmyG9HE0ow,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-11-28T15:59:38.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,abortion;lawyer;laws,4900,True,64,5,5,2,3,3,6,10,0.6,0.0,1.0,0.0,39.0,36.0,239.78113259633102,0.0019979177755465732,-0.375048174267652,0.4890636995804379
CxjBbQTy4pS,male_prolife,male_prochoice,male_prolife_male_prochoice,2023-09-23T20:09:40.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-choice,shoutyourabortion;prochoice;bansoffourbodies;stillweriseloves,16900,True,71,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,9.2,9.2,1036.6074983370718,1.1741191433685818,-0.312468939491327,1.145119429653432
CiLSX4FMW6e,male_prolife,male_prochoice,male_prolife_male_prochoice,2022-09-06T19:05:07.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,,546,False,16,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,106.0,106.0,1418.6523247259606,1.42566443453488,-1.195644404111573,-0.6730046820524979
Ch_LPE6OPWN,male_prolife,male_prochoice,male_prolife_male_prochoice,2022-09-02T02:11:48.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,,1600,True,18,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,13.0,13.0,1423.3560168555903,1.4283185804297627,-1.1275910852429407,-0.10386172154905561
CTYBIiXPQUW,male_prolife,male_prochoice,male_prolife_male_prochoice,2021-09-03T21:53:38.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,,390,False,20,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,31.0,31.0,1786.5352992629978,1.6105561172416465,-1.0663550984858932,-0.8509342407267914
DZLiO5vuvem,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-06-04T22:15:03.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,abortion;politics;christian;atheist;debate,52700,False,1700,5,5,2,3,3,6,10,0.6,0.0,1.0,0.0,45.8,33.0,51.5204265778125,-1.2197926991972017,1.6223852200436555,1.7478230476011807
DN1iVFVWiC0,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-08-26T23:22:32.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,jesus;christ;christian;methodist;baptist;protestant;catholic;orthodox;god;evangelical;church;bible;defenderofthefaith;catholicmoms;catolicos;pray;lettersfromstpaul;meme;memes;christianmeme;christianmemes;christianity;catholicism;abortion;prolife;prochoice;womensrights;abortionrights;abortionishealthcare,3400,False,207,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,59.4,59.4,333.4735631518866,0.26571955445199275,0.33662474963671973,0.2954322003325272
DSWNNo3DMkV,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-12-17T01:58:32.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,prolife;pennsylvania;abortion;pray,935,False,36,5,5,5,0,0,0,10,0.0,3.0,10.0,0.3,119.6,119.6,221.36522981855325,-0.06184609400654417,-0.7198064649596585,-0.3883276237453195
DEuHb45B3E1,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-01-12T09:30:19.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,Medicine;Surgery;Obsgyn;abortion;Medical;MBBS;MedicalNotes;neetpg;neetpgpreparation;NEET;students;work;Ent;Optha;Pathology;Pharma;Medicine;ExplorePage;Trending;2025,2200,False,8,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,30.2,30.2,560.0514913926273,0.6807605002848091,-1.5847736394319445,0.06481585551851905
DWPZmgQkqZb,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-03-23T20:37:41.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,abortion;save;baby;southafrica;reppnforchrist,21500,True,357,5,5,2,3,3,6,10,0.6,1.0,1.0,1.0,57.6,87.4,124.58804231855324,-0.5202637849980487,0.6688557635845068,1.2726950202463245
DYz9RnAlMRz,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-05-26T18:24:51.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,news;foxnews;prolife;conservative;conception,115,True,54,5,5,4,1,1,2,10,0.2,0.0,6.0,0.0,135.4,83.4,60.68028768892361,-1.0907984415018344,-0.47726008684179644,-1.4948983114290282
DQpK3tICVJy,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-11-04T17:42:15.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-choice,feminism;abortion;politics;prochoice;abortioneveryday;abortionrights;feminist,7200,True,286,5,5,4,1,1,2,10,0.2,3.0,6.0,0.5,81.0,25.0,263.70987102225695,0.07802134719094765,0.5336060204323416,0.692982196001035
C3dm5ysvUmg,male_prolife,male_prochoice,male_prolife_male_prochoice,2024-02-17T20:50:04.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,prolife;prolifegeneration;prolifegen;prolifemovement;prochoice;abortion;abortionismurder;reproductiverights;abortionishealthcare;feminism;floridainternationalunivesity;fiu;miami;abortionrights;abortionaccess;baby;kristanhawkins;speech;debate,84,False,16,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,71.6,71.6,889.5794427815163,1.0515132648354901,-1.195644404111573,-1.6596836294595745
Cb4oAF-sDTJ,male_prolife,male_prochoice,male_prolife_male_prochoice,2022-04-03T10:00:10.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,abortion;SafeAbortion;MedicalAbortion;Misoprostol;AbortionWithPills,189,False,26,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,126.8,126.8,1575.0307622259606,1.5095123600357274,-0.9125885597995573,-1.2333979010125784
CNGNuAwjSKQ,male_prolife,male_prochoice,male_prolife_male_prochoice,2021-03-31T20:48:55.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,teenprolifers;prolifeprolove;prolife;prochoice;prolifegeneration;prolifefeminist;prolifemovement;prolifeandproud;prowoman;proscience;probirth;prolifeisprowoman;prolifegen;defundplannedparenthood;defundpp;plannedparenthood;plannedparenthoodisevil,1000,False,35,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,49.0,49.0,1942.5802413926274,1.6777114919367226,-0.7365705061381995,-0.35274645285043205
DNL3mQJO40U,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-08-10T19:00:00.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,trump;maga;birthrate;abortion;prolife;saveeurope;endabortion;migrantcrisis,4200,False,279,5,5,3,2,2,4,10,0.4,0.0,3.0,0.0,305.8,297.4,349.6558779667014,0.303630548242667,0.5184978645054555,0.4073879675675187
DXfI1vtCSsc,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-04-23T19:50:32.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,,555,True,12,5,5,4,1,1,2,10,0.2,1.0,6.0,0.16666666666666666,8.6,17.0,93.62078537410879,-0.7474448203055838,-1.3597815169507703,-0.6643559978521946
CG-ZMarnO8c,male_prolife,male_prochoice,male_prolife_male_prochoice,2020-10-30T16:46:54.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,,9700,True,100,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,43.4,43.4,2094.748308522257,1.7381949046981462,-0.10538587779548654,0.8509151967672971
DWKxUooDGEQ,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-03-22T01:30:25.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,abortion;prolife;fyp;christian;downsyndrome,16200,False,2900,5,5,0,5,5,10,10,1.0,,,,59.0,211.8,126.3847552815162,-0.5088657875933437,1.9490143168617486,1.1227021990734911
DXAozfPzcqM,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-04-11T23:34:30.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,abortion;religion;trending;viral;fyp,169800,True,6700,5,5,1,4,4,8,10,0.8,,,,54.0,80.2,105.46525296670139,-0.6528095519025925,2.4612552630219118,2.3678728485274037
DZnWSIehKlF,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-06-15T17:25:00.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,ThePoliticalMixster;mcjuggernuggets;Abortion,571,True,91,5,5,4,1,1,2,10,0.2,1.0,6.0,0.16666666666666666,396.0,437.6,40.72185018892361,-1.4044849485471245,-0.16249095301500346,-0.6493206522305247
C7_vSYKsESG,male_prolife,male_prochoice,male_prolife_male_prochoice,2024-06-09T13:03:05.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,secularprolife;abortion,365,False,34,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,131.8,131.8,776.9037367629977,0.9429741329027997,-0.7538068354351619,-0.885950963398436
DSyZpVojCzq,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-12-28T00:46:02.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,sydneysweeney;genes;eugenics;abortion;downsyndrome,5800,False,86,5,5,3,2,2,4,10,0.4,2.0,3.0,0.6666666666666666,42.6,25.4,210.41557704077547,-0.10236322216446106,-0.1966813682899956,0.578410277928255
DTbFzkgE0Xp,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-01-12T20:01:33.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,TopicoftheWeek;Abortion;WyomingSupremeCourt,19,True,9,5,5,3,2,2,4,10,0.4,0.0,3.0,0.0,89.4,83.0,194.61313491114583,-0.16469849755066426,-1.5203088893667278,-2.4264933731863136
B3P19d0F-jw,male_prolife,male_prochoice,male_prolife_male_prochoice,2019-10-05T19:03:03.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,whywemarch;prolifegeneration;onethird;missing;prolife;responsibility;abortion;defendlife,5600,True,253,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,38.6,38.6,2485.6537599111457,1.8754257410154553,0.45886989241123677,0.5598165312413983
DRv6jOKkVae,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-12-02T05:04:56.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,christian;americanpolitics;fyp,6500,False,1300,5,5,2,3,3,6,10,0.6,1.0,1.0,1.0,185.6,72.4,236.2357853741088,-0.00990462757455706,1.4583587740330726,0.6387863831673772
DZsuArQv063,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-06-17T19:29:04.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,life;God;Gospel;abortion;Jesus,2000,False,92,5,5,3,2,2,4,10,0.4,3.0,3.0,1.0,23.0,39.2,38.635692781516205,-1.4456435713111613,-0.1558763023531022,0.014329313389462688
DHZfPX5yrTW,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-03-19T22:54:09.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,prolifewoman;prolife4life;prolifelgbtq;prolifegeneration;prolife;liberalprolifer;prolifeliberal;endabortion;liberal;secularprolife,98,False,61,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,229.6,229.6,493.4932738000347,0.5794351801968625,-0.40395981533861697,-1.5788813146115936
C977134y0SL,male_prolife,male_prochoice,male_prolife_male_prochoice,2024-07-27T18:38:37.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-choice,prochoice;equality;womensrights;lgbtq;lgbtqrights;humanrights;mybodymychoice;womensrights;gayrights;transrights;lgbtqia;gay;bookstagram;bansoffourbodies;abortion;healthcare;voteblue;cult45;project2025,904,False,35,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,69.0,69.0,728.6707275037384,0.8916135189403922,-0.7365705061381995,-0.40617697192057844
CGVDs_3Dk10,male_prolife,male_prochoice,male_prolife_male_prochoice,2020-10-14T15:30:15.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,prolife;abortion;abortionregret;feminist;chooselife;lovethemboth;plannedparenthoodisevil;prochoiceisalie;abortionisantiwoman;prochoice;prochoicegeneration,274,False,17,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,19.0,19.0,2110.801537688924,1.7443177264528156,-1.1606720727850721,-1.0374466243926057
DWUEyjljlsq,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-03-25T16:12:34.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,christian;abortion;trans,156,False,17,5,5,4,1,1,2,10,0.2,2.0,6.0,0.3333333333333333,21.8,8.4,122.77215111484954,-0.5319503465109061,-1.1606720727850721,-1.3345028250671382
DWcpXOPDk-v,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-03-29T00:06:55.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,prolife;abortion;humanrights;politics;fyp,5800,True,513,5,5,3,2,2,4,10,0.4,0.0,3.0,0.0,27.6,59.8,119.44274139262731,-0.55382989628675,0.8901556812499402,0.578410277928255
Bthn_B4gNRO,male_prolife,male_prochoice,male_prolife_male_prochoice,2019-02-06T03:33:19.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,SOTU;Sotu2019;trump;prolife;prolifegeneration;christian;cfcflorida;cfc;florida,1300,False,40,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,57.4,57.4,2727.299408059294,1.9498399820537484,-0.6569976001460971,-0.2138259762556084
DSYiTiLkZ73,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-12-17T23:41:20.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,HeresWhy;BreakingNews;Democrats;HakeemJeffries;Politics;Healthcare;MAGA;Republicans;MikeJohnson;DonaldTrump;Abortion;Congress;HakeemJeffries;ChuckSchumer;Trending;Viral;News;Trump2024,6600,True,799,5,5,1,4,4,8,10,0.8,,,,14.8,50.4,220.460507596331,-0.06511738930529438,1.1608307199038805,0.6468763034514934
B5B4f9Vg2WV,male_prolife,male_prochoice,male_prolife_male_prochoice,2019-11-19T01:58:39.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,abortion,mememonday,1300,False,25,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,24.0,24.0,2441.3651488000346,1.8610059276835056,-0.9356799503038977,-0.2138259762556084
DZltRVCxGZF,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-06-15T02:14:13.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,ProLife;AbortionIsMurder;Abortion;ChooseLife;LifeMonth,439,False,50,5,5,0,5,5,10,10,1.0,,,,10.2,91.6,41.35433861484954,-1.3924122562365127,-0.523459324479186,-0.7883633192851077
DYf4Uf_nTl0,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-05-18T23:16:45.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,prolife;abortion,325,False,29,5,5,2,3,3,6,10,0.6,1.0,1.0,1.0,47.8,48.4,68.47757935559028,-0.995281978901706,-0.8481238097343407,-0.9472864332943147
DXujzGMj76X,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-04-29T19:39:49.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,prolife;prolifegen;savethebabies,21200,False,1800,5,5,2,3,3,6,10,0.6,0.0,1.0,0.0,167.6,51.8,87.62822750373843,-0.7999427104807383,1.6573375677259305,1.2652484963458939
DMivGQgyr6W,male_prolife,male_prochoice,male_prolife_male_prochoice,2025-07-25T19:37:09.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,pro-life,reels;viral;girls;women;genz;teen;follow;baby;community;aesthetic;cute;abortion;murder;baby;lies;sad;love;life;prolife,5500,False,480,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,65.4,65.4,365.6300793555903,0.33937552462727827,0.84955581678629,0.5502691574379758
DVuSpbYCZZm,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-03-11T00:02:31.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,abortion;prolife;prochoice;abortionishealthcare;abortionismurder,2700,False,229,5,5,1,4,4,8,10,0.8,,,,241.6,100.4,137.44579694818287,-0.4420531935809103,0.3981408230212425,0.17330419057103424
DUti9n9EsVj,male_prolife,male_prochoice,male_prolife_male_prochoice,2026-02-13T20:33:55.000Z,male,male,prolife,prochoice,male_male,prochoice_prolife,False,True,True,ambiguous,abortion;prochoice;prolife;jesus,81,True,69,5,5,2,3,3,6,10,0.6,0.0,1.0,0.0,27.2,33.8,162.590658059294,-0.3081433187226844,-0.3297052687882891,-1.678726170964082
